Day,Rate
0,74.62808018863112
1,74.89967694107663
2,73.13595296578491
3,73.50999253193639
4,74.18100585097316
5,74.9171410298173
6,75.12933837419911
7,75.11468847025805
8,75.33439594018043
9,76.6087787745282
10,76.42021931173844
11,78.38931000223829
12,78.39939384884862
13,80.03102666222048
14,80.0708713838494
15,79.83183756016628
16,78.38816258702298
17,78.85009241993747
18,78.9291389685756
19,78.91807902247379
20,79.32734766195301
21,79.29653125644423
22,79.15228626262531
23,79.85988581112751
24,79.53157757149607
25,79.44512026219395
26,81.58209656187256
27,81.31087194928826
28,81.31006845041972
29,81.02330432370753
30,82.79714605844309
31,80.89370337683884
32,80.33174670723415
33,81.52397761561592
34,81.34612145214498
35,81.34798502495183
36,81.45842409882796
37,81.08644360514558
38,80.83827021075817
39,79.02985452576036
40,79.01959189533403
41,79.54332797404136
42,79.44825858256922
43,79.92621233610465
44,78.86390041226733
45,78.39117560969862
46,77.67610458759322
47,77.07368369798786
48,77.13548156864691
49,77.18931775523686
50,76.99936651834656
51,75.97088656713211
52,76.01455407888615
53,75.16651418694094
54,75.08386718675118
55,75.67464744696571
56,75.59137281002761
57,76.52975066995187
58,77.5632714587283
59,78.28093236728286
60,79.74497871647334
61,79.69363543150747
62,79.81795364004496
63,79.83001654364061
64,80.13817833409111
65,80.01351362280388
66,79.87275602587883
67,80.04704606305859
68,79.26052077882777
69,79.50639859309686
70,79.38751075889606
71,79.40200373871237
72,78.56041822972635
73,78.07438743399213
74,77.55443409469251
75,77.56097840952312
76,77.59713833896085
77,77.56810675446951
78,77.71771645187475
79,77.55628748137255
80,78.63771107073467
81,78.85307719900482
82,79.40807910130886
83,79.35112335890183
84,79.42721876104217
85,79.46434010063349
86,79.44557116279401
87,79.21929662424118
88,78.75060522631154
89,78.94635777741456
90,78.90716801074443
91,78.90716801074443
92,78.95118588165485
93,79.06712836158813
94,79.75222943921182
95,79.5450750870367
96,79.3203233001774
97,78.90671641022195
98,78.96697825324497
99,78.62052018468347
100,79.00892189218843
101,79.33840898443007
102,79.4783572272584
103,79.5613562583076
104,79.62883239890593
105,79.60967775376834
106,79.26368053948916
107,79.47248733202132
108,79.92634761936564
109,80.19414832744225
110,80.4828283753627
111,80.92969999618775
112,80.91776425617216
113,80.75842729137656
114,81.26008522882003
115,81.60116185543049
116,82.5666028090497
117,82.41658220787916
118,81.89627708579376
119,81.81085075707573
120,81.82234938343532
121,81.05958801745713
122,81.10035758987945
123,81.84510809413399
124,81.72946883451057
125,82.63816519189723
126,82.63971375329636
127,82.49374814637802
128,82.28859029494629
129,83.08250444115535
130,83.33144521969992
131,83.80123003858692
132,83.03075792960362
133,83.00528626081325
134,83.39372817012536
135,83.16186573492706
136,84.09039389683464
137,84.07024779086059
138,84.91382686058913
139,85.36361475886932
140,85.3662167542265
141,86.4173196654163
142,85.51137551693864
143,85.37246135437924
144,85.5445075089216
145,85.94760256703191
146,87.01006321596817
147,87.04612675596763
148,87.30951655954296
149,86.75377201117689
150,87.09318905524415
151,87.49942956679378
152,87.84571089274101
153,87.97288700330665
154,87.98541775627527
155,87.73742885954395
156,87.22505738912697
157,85.40765510673423
158,86.13406752896674
159,87.0473681250929
160,87.39115158262308
161,87.24967175474586
162,87.19770305615587
163,86.927729010763
164,87.64430683496654
165,87.70656020102157
166,88.01652171436308
167,88.54471925902486
168,88.57392675542476
169,88.6808317768383
170,88.56340144316648
171,87.9049857046228
172,87.22535564628913
173,86.02429899042082
174,86.32901950654512
175,86.39154783085985
176,86.83311163202046
177,87.56839936741825
178,86.92730214735147
179,86.26512025890119
180,85.56235350322035
181,85.90554801072638
182,85.95005125554371
183,86.59734936471952
184,85.26708549822327
185,85.58619335113376
186,84.94868174768477
187,84.81980365177687
188,84.35986669544003
189,84.32809174823613
190,83.84769116437205
191,84.34961092045353
192,82.77990178249331
193,83.77918059304602
194,84.66130388351243
195,84.11125676982422
196,84.1525481857643
197,83.88143292861398
198,83.4169892887279
199,84.55125179123901
200,84.52578704849516
201,84.62737078778842
202,84.81794375669833
203,84.83720775869838
204,84.9141012991138
205,83.80671218780824
206,84.31200470302761
207,84.43893488245472
208,84.23964839880178
209,84.24763275945311
210,84.15043825976159
211,84.21387326244579
212,83.47348756400503
213,83.11657317188843
214,82.78716060171737
215,82.55316153939427
216,81.41865929450205
217,81.4782340097312
218,81.00043992298737
219,81.83782389793858
220,80.87854194593899
221,80.32165189237624
222,80.54707184369313
223,80.29292450720006
224,80.28887050586685
225,80.40687668240325
226,79.83899879419053
227,80.0704843183485
228,79.98246229193992
229,78.76908153227468
230,77.97044700554208
231,78.00302766712139
232,78.11350667411705
233,78.9490132198137
234,78.3708552525413
235,77.48020127060383
236,77.99476365712243
237,77.9575182564569
238,77.93003425933075
239,78.35698356243468
240,78.33410135119892
241,78.3306315673206
242,76.85420396247673
243,76.53472489436116
244,75.85287425384762
245,75.87226825384676
246,75.54730200839951
247,76.57187087557783
248,77.17558520914457
249,78.74214257768317
250,79.19370104802726
251,79.01333200606601
252,79.01333200606601
253,79.64828161778405
254,78.54092590252588
255,79.36658869326598
256,79.17378031151522
257,79.74520471474136
258,79.53673196657022
259,79.57327975989656
260,80.16580565440745
261,80.09202654428292
262,80.6867906648705
263,81.1871605771603
264,80.57701832499413
265,81.10233183733885
266,81.12370925873698
267,81.03342874412624
268,79.94829312567992
269,80.05765448185994
270,80.50249942830989
271,79.7863726454611
272,81.88077136570196
273,81.89578375693503
274,81.9516813937637
275,81.53767635442475
276,82.33904650618081
277,82.27492441406423
278,82.31006753864713
279,81.55614175514954
280,81.58515107569043
281,81.2462289351768
282,81.40582085150295
283,81.05471151358184
284,81.78683298403071
285,80.59092144079797
286,81.17568525750012
287,81.21709450912157
288,81.23603843386572
289,80.92562925195806
290,81.79728477804579
291,81.84193086878379
292,82.28831906758045
293,81.64376475476121
294,81.63578175611586
295,81.31100876713349
296,80.64623660541288
297,79.9868392051513
298,80.69434910655805
299,81.61409954747144
300,82.44164976012267
301,82.48615649818429
302,82.3473809303204
303,82.20178075429489
304,82.09655858976788
305,82.25593413501947
306,82.01363739038125
307,83.11384375360042
308,83.12425175337106
309,83.21671572171962
310,82.79335503181309
311,83.02419770701287
312,82.96910911442198
313,83.3093126575691
314,83.00327925893335
315,82.99407625473923
316,82.79082691875614
317,82.54950153392917
318,82.84988836290768
319,83.11932133132107
320,83.60022069782248
321,83.09876175486457
322,83.09629725418401
323,83.18229235679651
324,83.11476448920932
325,83.12819961144125
326,82.73488170429431
327,82.19212482802776
328,82.03509776047015
329,82.12000150920484
330,82.12793567808653
331,81.82840820021995
332,81.69684757787392
333,81.61072649173539
334,80.93973690300005
335,81.09835075404315
336,81.10886725974171
337,80.65937974547727
338,80.41934218181575
339,80.3302365400253
340,80.12108067968207
341,81.31246528076146
342,81.45856925485542
343,81.44690275877956
344,81.25034561834998
345,81.02711813824328
346,81.29606946330271
347,81.62095314023924
348,81.98262770876005
349,83.03576985020183
350,82.92634325500312
351,82.74702860702973
352,82.61087160813183
353,82.52325903301677
354,82.28731040080447
355,81.7981687064455
356,81.98003875958467
357,81.98136025729052
358,81.71420568522622
359,81.36934840368106
360,80.7597316074882
361,80.80493174595061
362,81.20343790338684
363,81.1002520109757
364,81.13914250682248
365,80.92631284077804
366,81.03610356834875
367,80.40846715211265
368,80.44850281210252
369,80.60870548627999
370,80.32367776120144
371,80.32019974082112
372,80.24202341845286
373,80.15772051962624
374,79.87672500707606
375,79.99635236855653
376,80.60541585061559
377,80.4620717544102
378,80.43682575415913
379,80.41419910696123
380,81.06067624823196
381,81.4822323308732
382,82.24000710294565
383,82.47198053598997
384,82.15025176026816
385,82.14942175577072
386,81.87768928286565
387,82.86658813039854
388,82.15222134988011
389,82.79654726602001
390,83.24510913446295
391,82.82214600964521
392,82.80779025431937
393,82.69462464276221
394,82.66486564454817
395,82.78957550001364
396,83.04698033355513
397,83.72927198023982
398,83.36238801104075
399,83.40030375391737
400,83.45655981917169
401,83.40429925633097
402,83.92544284148917
403,83.41190101827348
404,82.85767652953594
405,82.76746301007425
406,82.77387525720019
407,82.78653883526115
408,83.18088186617577
409,83.17837790280277
410,83.3104431349362
411,84.06178922911415
412,84.2625062586502
413,84.32309800855657
414,84.64880536118125
415,84.8219634147887
416,85.11846657763465
417,85.92669123060057
418,85.69464556774719
419,86.39590225729347
420,86.39178201097808
421,86.50782747023408
422,85.9383484918289
423,85.92168923683786
424,86.24210945521587
425,85.85264758834917
426,86.20217575357513
427,86.17779175321846
428,86.16988481307835
429,85.90134499857928
430,85.90318174022019
431,86.2970909205967
432,86.52163743571703
433,86.72026875707304
434,86.71054826149329
435,86.72323154787506
436,86.55272760246173
437,87.13666953590267
438,87.95726204347987
439,88.30890862364048
440,88.44761575495076
441,88.44233225495091
442,89.02544086733435
443,88.69898271836354
444,88.9073907155565
445,88.44341000922694
446,88.67493230231348
447,87.78899575502388
448,87.80459350502349
449,87.95231185334269
450,88.14648803686778
451,88.40169683931464
452,89.001427075905
453,89.91180160595123
454,89.37389925408759
455,89.36707525924304
456,89.52530259810723
457,90.37862339633256
458,90.18493075251352
459,91.77599795957055
460,91.90240054172496
461,92.5837117555357
462,92.5415482585997
463,92.77854513580283
464,91.92949201286834
465,91.53161611973069
466,92.79627866756658
467,94.59472772488535
468,94.17315176128818
469,94.12897675582103
470,94.53939230745117
471,94.72521789505545
472,94.02428533920828
473,93.78543156014106
474,94.92732095111953
475,94.84282900403652
476,94.89236950380756
477,94.94686868991603
478,94.4397100858241
479,93.72149676296756
480,93.54088899765397
481,94.79946297120271
482,94.91879425811193
483,94.97291725246681
484,95.13522588357006
485,94.47554653196451
486,95.20745980772259
487,95.03214117810914
488,95.86914650350887
489,96.75338125769437
490,96.83663725769478
491,96.92683860112771
492,96.44220950591577
493,97.42588978406
494,96.61523215676496
495,96.46861789295754
496,95.84916175317794
497,95.86979975317706
498,95.71584066820542
499,96.86617725683516
500,96.63107489186783
501,96.78360958667011
502,96.39308394191428
503,96.54988775822241
504,96.54473575822237
505,96.72699081955533
506,96.77640136086627
507,97.12863787908468
508,96.17265433428656
509,96.08230185685825
510,96.60565325343124
511,96.63465926022253
512,97.23234778834711
513,95.06055600401801
514,94.48719198841913
515,94.64803002255499
516,94.79630779153891
517,95.70572926087
518,95.72444826085925
519,95.58798478348095
520,95.49621203833867
521,95.96651436045687
522,96.31030089513392
523,97.6771102444868
524,98.44866575346856
525,98.3885357537792
526,98.45123269691146
527,99.4948859121442
528,99.1556573475964
529,99.10172267675868
530,99.81659528397769
531,99.36986375603766
532,99.37074175770681
533,98.45475526228056
534,99.30112769982095
535,98.68462748132083
536,99.79245889051516
537,99.2679013001145
538,98.93010250487586
539,98.93010250487586
540,99.2974394243022
541,98.49319867494727
542,99.30591581390671
543,98.75677146026834
544,98.30984997355102
545,98.32637576054873
546,98.31695425518491
547,98.3463820445782
548,97.44976410165945
549,97.82967965111433
550,97.29990130277386
551,100.70544677614994
552,101.89669017256873
553,101.9175080027013
554,102.4376345524572
555,103.6829721018968
556,104.01205504937728
557,105.23090582804683
558,105.24825126855447
559,103.52021301248168
560,103.52021301248168
561,103.61150594411939
562,100.27035213546677
563,101.55600865782596
564,101.1879329346275
565,101.31477492589758
566,102.45862150945183
567,102.45796750758393
568,102.68776533368968
569,101.98907148591246
570,102.47166146686018
571,102.38240986742372
572,102.44311393778541
573,100.97691350280672
574,100.97691350280672
575,100.83955769398624
576,101.42281977867505
577,101.0699357459904
578,100.0832817152037
579,100.63870367681577
580,102.34539075277569
581,102.32558975536053
582,102.28207575363714
583,101.9590868661798
584,100.73922328917747
585,100.95350710443928
586,101.73141898212029
587,102.02550186279846
588,101.94513175886375
589,101.96707578563638
590,101.55776252859434
591,101.4561481397033
592,101.40242043657607
593,100.55056405468669
594,100.65825125616925
595,100.75001125990705
596,100.509917869063
597,100.45848275659067
598,100.7665116326152
599,99.88948828660624
600,99.37745225637237
601,97.93061235857083
602,97.87506535664765
603,97.59371633943067
604,97.53305907247052
605,98.28316474819935
606,97.43071275882765
607,97.94538648648809
608,96.33751225889422
609,96.35139175860117
610,96.91701966531379
611,97.45723576614158
612,96.88862837178246
613,94.32681126511176
614,93.28051890565231
615,92.83500776062274
616,92.7695317614017
617,92.91644075625629
618,93.39262356542199
619,91.18680538554437
620,90.6904040565134
621,92.06711914948995
622,90.30801325894971
623,90.47055825849013
624,90.49595991359548
625,90.55653946648303
626,90.6673196726827
627,89.88105658266083
628,89.43747528960205
629,90.4281717557017
630,90.30692050967782
631,91.15100103854165
632,90.74025730639258
633,90.96368452141819
634,90.93736248165835
635,91.44619611194263
636,90.82465951048444
637,90.82465951048444
638,91.14894560263878
639,92.27114158875358
640,92.30602586392705
641,91.17618604700021
642,91.93316930158433
643,91.97379375621877
644,91.96873300866972
645,91.94419673194328
646,92.31442189924485
647,92.83404135857279
648,91.68714161708314
649,90.77951359956228
650,90.06061957616897
651,90.2225650079591
652,90.393568530775
653,91.08575852920076
654,91.84652837757922
655,92.14833240433724
656,92.54816172048757
657,92.46143456035072
658,92.45271445697922
659,92.73638078633468
660,92.13878443733603
661,92.62057975495004
662,91.89706476581013
663,91.88106795841706
664,91.23342725741232
665,91.19693575476039
666,90.8605781885483
667,90.32960221154694
668,89.1089510553143
669,87.75786501765116
670,89.06224427114131
671,88.29265975976597
672,88.30502275582943
673,88.30104998640115
674,87.75086900982652
675,87.64996557292433
676,87.10694348711428
677,88.30822224441872
678,88.61907175998756
679,88.59085600675527
680,88.40393442146647
681,88.76803829697833
682,89.49834606184423
683,89.65308130025257
684,88.83393642573216
685,89.74952375547859
686,89.75870725547841
687,90.04408022946696
688,89.14383320987484
689,88.36578169580233
690,87.9018578243215
691,89.37410648496048
692,89.29324855693748
693,89.32640875432858
694,89.31511203225307
695,88.750325331047
696,86.81700886634938
697,87.62658151106703
698,87.92902185986027
699,87.57134177233979
700,87.5771407588707
701,88.12285586295309
702,89.79593023947811
703,90.3538175700665
704,91.65170441307103
705,91.49824816083233
706,91.22490374044226
707,91.24159775757897
708,92.12277744074906
709,92.26797942334055
710,93.46691611958468
711,93.35967077331746
712,92.4299119129121
713,92.07877976147353
714,92.03255027096584
715,92.50573464123202
716,92.5317008204967
717,92.90920793281377
718,93.44680591299735
719,94.06464300340774
720,93.54289975343352
721,93.60196375382438
722,93.52881411969828
723,93.21871066371452
724,92.84113871461327
725,92.38129928547484
726,92.75682053123064
727,91.7268982598646
728,91.6932767590566
729,91.1772495970601
730,91.91324432799289
731,92.18144553180427
732,91.53633788883917
733,91.62453535155959
734,92.13532550467279
735,92.12620601115441
736,92.04369962177327
737,91.40192006982497
738,91.7302390536707
739,92.3010641348725
740,93.03418898271022
741,93.53743375906808
742,93.50409925492112
743,93.06182579170017
744,94.03351563986159
745,94.17472328999274
746,94.59620374183609
747,94.42801085022754
748,94.74570775686695
749,94.83255176043077
750,94.80255780611311
751,94.95693045292259
752,95.3935074979783
753,94.13131861752893
754,93.87161916706003
755,93.56438725464275
756,93.5452162546433
757,93.8553949553357
758,93.37579757351352
759,93.25600029742239
760,93.46245017313788
761,93.23231807451694
762,93.34037275652965
763,93.33819025981586
764,93.61240675068446
765,93.99954854305905
766,93.7248692407697
767,94.17435946489309
768,93.00906279315991
769,93.20511580961126
770,93.20933725961137
771,93.15052540078818
772,93.03536004990085
773,92.86069629589794
774,93.11613764329749
775,93.5134843205711
776,94.07539526087838
777,94.10916800575652
778,94.22376654382228
779,93.75493204504417
780,94.77063587521008
781,93.67335878149542
782,93.67884143626914
783,93.02983736085574
784,92.95553918060475
785,93.02379539853061
786,93.38531643676944
787,92.53377609442425
788,93.02583727636056
789,93.10063765750529
790,93.51999376085031
791,93.51999376085031
792,93.67482294738777
793,94.02803335070456
794,93.6906231822462
795,92.67927441630803
796,92.42039061412419
797,93.8740920541944
798,93.82430576107089
799,94.08796410104696
800,94.06986926426703
801,94.2250662315219
802,92.94545096681583
803,92.62041218860635
804,92.6661480048434
805,92.58008550330413
806,92.64775003093794
807,92.31794810476119
808,91.74423547166984
809,92.38401495188825
810,92.6319418050675
811,93.04626025558197
812,93.07524750573751
813,93.01191694482745
814,93.24234502772859
815,93.22991692242798
816,93.36127069774547
817,93.41851612548807
818,93.46470680789747
819,93.45513776012314
820,93.4513338393408
821,93.80260931732732
822,94.03635981865978
823,93.84642670950772
824,93.56811328751506
825,93.97693270575193
826,93.85410400647798
827,94.24861592826981
828,93.63166568568246
829,93.5774363483486
830,93.39750930784254
831,93.4663842039833
832,93.88087376127558
833,93.8737562610729
834,93.8727508021233
835,93.51042321937871
836,93.55545827218782
837,93.30958985716876
838,92.17525894149563
839,91.76112301057707
840,91.75069550731308
841,91.65665646764934
842,91.96144778849522
843,91.96500627275226
844,92.73249130266073
845,90.7030963066826
846,89.01632575806354
847,89.01533425908767
848,88.94353549156251
849,89.83278539382209
850,90.90163696392575
851,89.67400484681379
852,90.57942856047146
853,89.53825575689264
854,89.53099076017944
855,89.67749472007391
856,88.6971983991779
857,90.83027989165323
858,90.77441851179533
859,91.49782596455371
860,91.9251505051841
861,91.9251505051841
862,91.89583585623697
863,91.55556092075331
864,92.67732252368799
865,92.66601327765957
866,91.98262384024414
867,92.14600013091962
868,92.19212920703542
869,92.22007551741719
870,92.44887633626804
871,92.48205734742383
872,92.24650109219375
873,92.38114209720813
874,92.10352640554693
875,92.09993925948515
876,92.23437101403687
877,92.79959066633592
878,92.2191152798579
879,91.88033588835737
880,91.69186641495371
881,91.0058642550816
882,91.0058642550816
883,90.37472432567702
884,90.70115555631143
885,91.66973326742163
886,92.0896129295106
887,94.00853544102507
888,93.86482586101354
889,93.86482586101354
890,93.6648178535406
891,93.35104978467301
892,92.37097394815588
893,92.68089720368772
894,92.08101309380164
895,91.72573225795152
896,91.72121675795147
897,91.69334144707544
898,92.72232419518045
899,92.82274696846963
900,92.70769406173976
901,92.75002976144818
902,93.0434534084994
903,93.11112175850033
904,93.16986302972897
905,93.5024549810291
906,93.90337332251231
907,94.1367462092859
908,94.85156521950162
909,95.27430925934749
910,95.27893275934758
911,95.46419356122463
912,95.86237520669981
913,95.93886516397949
914,96.23206025274682
915,96.13636763262463
916,96.18977332157989
917,96.08182575745818
918,96.15366436539247
919,95.69943324858559
920,95.51162609151271
921,95.93538294840077
922,95.48873169988332
923,95.65335644849034
924,95.66833526151876
925,95.44095884806885
926,96.1338065263319
927,95.38493967617721
928,96.01217076626006
929,95.77962275377097
930,95.73001589740365
931,95.72895050494044
932,95.90859725953537
933,96.06208192354605
934,96.37058743628324
935,95.38896999012907
936,95.00818723694321
937,95.03670568415912
938,94.86975925827623
939,94.88850477471944
940,95.0557062033572
941,95.310555531802
942,95.09542654169793
943,95.05693603035094
944,95.01197880380585
945,94.9694647529205
946,94.98533988462302
947,95.00647992559684
948,95.29819707019824
949,95.17801315158029
950,95.37103848169964
951,95.50141302237584
952,95.47050875279002
953,95.56432656635991
954,95.83621435658632
955,95.92074529674804
956,95.59492560535183
957,95.17995849992393
958,95.24623044266161
959,95.26901075790744
960,95.30735585792571
961,94.92440536671457
962,93.69720429190535
963,93.8705447375609
964,94.09396052679982
965,94.3113327854243
966,94.2627465041168
967,94.41476095313631
968,94.51812716894733
969,94.67463701806022
970,94.07334077191156
971,94.9183492150552
972,94.9683562615501
973,94.9271117537665
974,94.91809568696517
975,94.80156124113466
976,95.16933458828724
977,95.40888581451588
978,95.71816305003368
979,95.8759700560149
980,95.87302775920674
981,96.01892680547991
982,95.9528819292476
983,96.06373143595637
984,95.88480511244232
985,96.04476258584555
986,96.13088547468675
987,96.10263175832718
988,95.9689076291482
989,95.89503465603208
990,95.59290911658647
991,95.99268093129835
992,95.99013499372964
993,96.00957560707865
994,96.00473050552593
995,95.99864787384575
996,96.15305917887117
997,95.63200008057714
998,95.95769331523898
999,95.80416359799632
1000,95.79974562197897
1001,95.76081575666994
1002,95.7054031955222
1003,95.7006878257268
1004,96.58025178500128
1005,96.26551355833271
1006,95.74226593376311
1007,95.76059450791091
1008,95.7465492579108
1009,95.7626264167474
1010,95.62646742683238
1011,95.68806270462011
1012,95.84639975515911
1013,95.26266921511308
1014,95.33436511555028
1015,95.3416437590835
1016,95.30100707697895
1017,95.56125717405078
1018,95.38717867760384
1019,95.3930328338465
1020,94.81478469874128
1021,95.3894082746239
1022,95.39478325646552
1023,95.41478581829918
1024,95.19089196893295
1025,95.4715438904069
1026,96.03879714654022
1027,96.02521759937967
1028,95.87580375476038
1029,95.87110600476049
1030,95.85592237649695
1031,96.0201852056723
1032,95.9865736300131
1033,96.09100551923864
1034,95.7879615252659
1035,95.75130050372056
1036,95.72336600372158
1037,95.69297750581224
1038,95.89131646557827
1039,95.62015917305163
1040,95.62886810873471
1041,94.81163306096353
1042,94.86474375419482
1043,94.87402175419452
1044,94.97696958298275
1045,94.86830115917999
1046,94.99517404753773
1047,95.49640224181344
1048,95.68271991185715
1049,95.6120143862672
1050,95.60918575733113
1051,95.59796829443037
1052,95.85920688583374
1053,95.91549260388543
1054,96.49913560225247
1055,96.80318726696719
1056,96.98723725863343
1057,96.96536876064648
1058,97.08649899642542
1059,96.74285569056791
1060,97.16240415336954
1061,97.17063345470103
1062,97.18810030283572
1063,97.37665787490157
1064,97.36018975555811
1065,97.36751882091605
1066,97.59051940840727
1067,97.82884843800373
1068,98.14439980861427
1069,98.77786345299074
1070,98.74481369877924
1071,98.74599900340836
1072,98.68566961968988
1073,98.65841754630556
1074,97.88656554174774
1075,98.01665909293669
1076,97.63692661284834
1077,97.22888324855691
1078,97.25422675458107
1079,96.926990041746
1080,97.00027208363605
1081,97.51624232683643
1082,97.41168873326166
1083,97.93226648428812
1084,97.5407141835508
1085,97.51813175552861
1086,97.59527355015473
1087,96.73080884216489
1088,96.2855864016884
1089,97.01823827649353
1090,95.82576550802355
1091,95.98260683362054
1092,95.97811375765909
1093,95.76492918751876
1094,95.52964498300554
1095,96.00805770454087
1096,95.5237097779788
1097,95.64091419523221
1098,95.4405942943003
1099,95.39988925815067
1100,95.3182415212085
1101,95.66976075422468
1102,95.400170882754
1103,95.77357798715263
1104,94.67127922762742
1105,93.72495675797208
1106,93.73816676010756
1107,93.34380532741737
1108,93.92794090236214
1109,93.63666126117558
1110,93.37841205867262
1111,93.52354323592799
1112,93.72808169901455
1113,93.74265675372756
1114,93.99996100453292
1115,94.01284492444702
1116,94.05302521403459
1117,94.13067640470288
1118,94.89776479246645
1119,95.35956981922371
1120,95.27650000394199
1121,95.43462130723053
1122,95.14090158551204
1123,95.99050239951153
1124,95.61483130059231
1125,96.57896493960898
1126,99.02239975469872
1127,99.02239975469872
1128,98.95148793670542
1129,99.00120926377467
1130,99.46924373827785
1131,98.55826161194265
1132,98.80158910317526
1133,99.13363156866582
1134,99.13282035710036
1135,99.1903922707929
1136,99.19601104460028
1137,100.93526235090131
1138,100.88070717521748
1139,101.03393536236865
1140,101.9486597605886
1141,101.9486597605886
1142,102.49647560092268
1143,101.76584608534512
1144,101.97667052904065
1145,101.81583417005892
1146,102.12971512762418
1147,102.34908500657271
1148,102.34908500657271
1149,102.40544015641527
1150,102.11091291091341
1151,101.00872566392508
1152,100.54772426327523
1153,100.59844919451507
1154,101.23450650341782
1155,101.23450650341782
1156,100.44903114631246
1157,100.50257479694712
1158,101.01375926450676
1159,100.8617958635346
1160,100.67034341712737
1161,101.39545676034265
1162,101.39545676034265
1163,101.21331324973725
1164,100.32200899060578
1165,99.22653837354379
1166,98.26595685431222
1167,98.32917665188948
1168,98.16078175895016
1169,98.16078175895016
1170,97.17953041644763
1171,96.91083520347053
1172,96.084844468474
1173,96.70832476281332
1174,97.36822735406564
1175,97.51993725192594
1176,97.52964175662052
1177,97.57890384644593
1178,97.75956249184203
1179,98.06615559413326
1180,97.8690337270401
1181,97.77734636905386
1182,97.9718105715475
1183,97.96705075842465
1184,97.898902221442
1185,98.33381151940476
1186,97.94769045237608
1187,97.95526043663827
1188,98.21718920757965
1189,97.64586525866584
1190,97.64586525866584
1191,97.34853931240565
1192,96.89466469868093
1193,96.06299501490915
1194,96.5187952323631
1195,97.3734395080001
1196,97.33879925906596
1197,97.33879925906596
1198,97.38194689880964
1199,96.6276525432412
1200,96.45460806206846
1201,95.79663922170823
1202,95.68352405234039
1203,96.86749775804296
1204,96.86749775804296
1205,96.89951388813992
1206,96.64101048478948
1207,97.06264556678427
1208,95.6553376690838
1209,95.4074000808588
1210,93.36778975795782
1211,93.41876375622513
1212,92.59345101306889
1213,94.08692020953124
1214,93.48018825528666
1215,92.99074397381253
1216,92.21869313564898
1217,91.47389725389115
1218,91.46233675732698
1219,91.37523871674844
1220,91.89857022991718
1221,91.51714710712223
1222,91.20115378598068
1223,91.86116669891223
1224,93.13888951046795
1225,93.09988701046659
1226,92.52864431077234
1227,92.66443415993076
1228,93.10345964420951
1229,92.9749241392148
1230,92.41922339376646
1231,92.4664985105802
1232,92.436807259171
1233,92.27037697051358
1234,92.10713328312148
1235,93.31482538363994
1236,92.87293632525848
